ins_id,ins_habilitado,ins_periodo,ins_matricula_num,est_codigo,grp_id
1,t,61,1,222638,1
2,t,61,1,222638,2
3,t,61,1,222638,3
4,t,61,1,222638,4
5,t,61,1,222638,5
6,t,61,1,224717,6
7,t,61,1,224717,7
8,t,61,1,224717,8
9,t,61,1,224717,2
10,t,61,1,224717,9
11,t,61,1,227435,6
12,t,61,1,227435,10
13,t,61,1,227435,8
14,t,61,1,227435,11
15,t,61,1,227435,2
16,t,61,1,219896,12
17,t,61,1,219896,13
18,t,61,1,219896,6
19,t,61,1,219896,14
20,t,61,1,219896,15
21,t,61,1,227286,12
22,t,61,1,227286,6
23,t,61,1,227286,16
24,t,61,1,227286,14
25,t,61,1,227286,13
26,t,61,1,226969,12
27,t,61,1,226969,13
28,t,61,1,226969,14
29,t,61,1,226969,17
30,t,61,1,226969,6
31,t,61,1,56651,12
32,t,61,1,56651,14
33,t,61,1,225551,2
34,t,61,1,225551,9
35,t,61,1,225551,7
36,t,61,1,225551,8
37,t,61,1,225551,4
38,t,61,1,205878,18
39,t,61,1,228581,2
40,t,61,1,228581,4
41,t,61,1,228581,12
42,t,61,1,228581,19
43,t,61,1,228581,20
44,t,61,1,224331,5
45,t,61,1,224331,21
46,t,61,1,224331,19
47,t,61,1,224331,4
48,t,61,1,224331,14
49,t,61,1,228980,9
50,t,61,1,228980,2
51,t,61,1,228980,4
52,t,61,1,228980,8
53,t,61,1,228980,22
54,t,61,1,224317,2
55,t,61,1,224317,23
56,t,61,1,224317,4
57,t,61,1,224317,24
58,t,61,1,224317,5
59,t,61,1,224333,13
60,t,61,1,224333,25
61,t,61,1,224333,6
62,t,61,1,224333,12
63,t,61,1,224333,14
64,t,61,1,228079,2
65,t,61,1,228079,3
66,t,61,1,228079,12
67,t,61,1,228079,4
68,t,61,1,228079,26
69,t,61,1,226912,4
70,t,61,1,226912,2
71,t,61,1,226912,27
72,t,61,1,226912,12
73,t,61,1,226912,28
74,t,61,1,222893,2
75,t,61,1,222893,1
76,t,61,1,222893,5
77,t,61,1,222893,13
78,t,61,1,222893,4
79,t,61,1,229466,27
80,t,61,1,229466,5
81,t,61,1,229466,2
82,t,61,1,229466,29
83,t,61,1,229466,4
84,t,61,2,221585,30
85,t,61,1,221585,4
86,t,61,2,221585,31
87,t,61,1,221585,32
88,t,61,1,221585,18
89,t,61,2,216614,1
90,t,61,2,216614,33
91,t,61,1,227859,13
92,t,61,1,227859,2
93,t,61,1,227859,5
94,t,61,1,227859,4
95,t,61,1,227859,34
96,t,61,1,228004,35
97,t,61,1,228004,36
