cra_id,asi_codigo,cri_id
1,C-CE-ICO-101,1
2,C-CE-ICO-102,1
3,C-CE-ICO-103,1
4,C-CE-ICO-104,1
5,C-CE-ICO-105,1
6,C-CE-ICO-106,1
7,E-CE-ICO-101,1
8,C-CT-ICO-101,2
9,C-CT-ICO-102,2
10,E-CT-ICO-144,2
11,E-CT-ICO-154,2
12,E-CT-ICO-158,2
13,G-CA-ICO-001,2
14,E-CT-ICO-148,2
15,C-CT-ICO-107,3
16,E-CT-ICO-143,3
17,E-CT-ICO-146,3
18,E-CT-ICO-149,3
19,E-CT-ICO-150,3
20,E-CT-ICO-152,3
21,E-CT-ICO-030,3
22,E-CT-ICO-153,3
23,E-CT-ICO-040,3
24,E-CT-ICO-026,3
25,E-CT-ICO-160,3
26,E-CT-ICO-036,3
27,E-CT-ICO-042,3
28,C-CT-ICO-105,4
29,E-CT-ICO-144,4
30,E-CT-ICO-146,4
31,E-CT-ICO-150,4
32,E-CT-ICO-158,4
33,C-CT-ICO-106,5
34,E-CT-ICO-144,5
35,E-CT-ICO-158,5
36,E-CT-ICO-146,6
37,E-CT-ICO-150,6
38,E-CT-ICO-154,6
39,E-CT-ICO-158,6
40,E-CT-ICO-042,7
41,G-HU-ICO-101,7
42,E-CT-ICO-152,7
43,E-CT-ICO-030,7
44,E-CT-ICO-153,7
45,E-CT-ICO-042,8
46,G-HU-ICO-101,8
47,E-CT-ICO-152,8
48,E-CT-ICO-030,8
49,E-CT-ICO-153,8
50,C-CT-ICO-107,9
51,E-CT-ICO-151,9
52,E-CT-ICO-152,9
53,E-CT-ICO-030,9
54,E-CT-ICO-153,9
55,E-CT-ICO-154,9
56,E-CT-ICO-031,9
57,E-CT-ICO-033,9
58,E-CT-ICO-159,9
59,E-CT-ICO-165,9
60,G-CA-ICO-001,9
61,E-CT-ICO-042,9
62,C-CT-ICO-107,10
63,E-CT-ICO-151,10
64,E-CT-ICO-152,10
65,E-CT-ICO-030,10
66,E-CT-ICO-153,10
67,E-CT-ICO-154,10
68,E-CT-ICO-031,10
69,E-CT-ICO-033,10
70,E-CT-ICO-159,10
71,E-CT-ICO-165,10
72,G-CA-ICO-001,10
73,E-CT-ICO-042,10
74,E-CT-ICO-154,11
75,E-CT-ICO-031,11
76,E-CT-ICO-033,11
77,E-CT-ICO-031,11
78,E-CT-ICO-159,11
79,E-CT-ICO-165,11
80,E-CT-ICO-154,12
81,E-CT-ICO-031,12
82,E-CT-ICO-033,12
83,E-CT-ICO-031,12
84,E-CT-ICO-159,12
85,E-CT-ICO-165,12
86,E-CT-ICO-154,13
87,E-CT-ICO-031,13
88,E-CT-ICO-033,13
89,E-CT-ICO-031,13
90,E-CT-ICO-159,13
91,E-CT-ICO-165,13
92,E-CT-ICO-154,14
93,E-CT-ICO-031,14
94,E-CT-ICO-033,14
95,E-CT-ICO-031,14
96,E-CT-ICO-159,14
97,E-CT-ICO-165,14
98,E-CT-ICO-154,15
99,E-CT-ICO-031,15
100,E-CT-ICO-033,15
101,E-CT-ICO-031,15
102,E-CT-ICO-159,15
103,E-CT-ICO-165,15
104,E-CE-ICO-101,16
105,E-CT-ICO-148,16
106,E-CT-ICO-040,16
107,E-CT-ICO-026,16
108,E-CT-ICO-160,16
109,E-CT-ICO-036,16
110,E-CT-ICO-042,16
111,C-CT-ICO-107,16
112,E-CT-ICO-152,16
113,E-CT-ICO-030,16
114,E-CT-ICO-153,16
115,E-CE-ICO-101,17
116,E-CT-ICO-148,17
117,E-CT-ICO-040,17
118,E-CT-ICO-026,17
119,E-CT-ICO-160,17
120,E-CT-ICO-036,17
121,E-CT-ICO-042,17
122,C-CT-ICO-107,17
123,E-CT-ICO-152,17
124,E-CT-ICO-030,17
125,E-CT-ICO-153,17
